libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
abism 0 1 0 0 0 0 
helm 0 0 0 0 1 0 
fuerz 0 0 1 0 1 0 
combin 0 0 1 0 0 0 
rohirrim 0 0 0 0 1 0 
ucornos, 0 0 0 0 0 0 
oportun 0 0 1 0 0 0 
lleg 1 1 1 1 1 1 
gandalf 0 0 0 0 0 0 
rohirrim 0 0 0 0 1 0 
fold 0 0 0 0 0 0 
oeste, 0 0 0 0 0 0 
derrot 0 1 1 0 0 1 
complet 0 0 1 0 0 0 
ejercit 0 0 0 0 0 0 
man 0 1 1 0 1 1 
blanca. 0 0 0 0 0 0 
estas 0 0 0 0 0 0 
histori 0 0 1 0 0 0 
conflu 0 0 1 0 0 0 
capitulos, 0 0 0 0 0 0 
libr 0 1 1 1 1 0 
iii: 0 0 0 0 0 0 
batalla, 0 0 1 0 1 0 
comit 0 0 1 0 0 1 
integr 0 0 1 0 0 0 
theoden, 0 0 0 0 0 0 
gandalf, 0 0 0 0 0 0 
aragorn, 0 0 0 0 0 0 
legolas, 0 0 0 0 0 0 
gimli, 0 0 0 0 0 0 
eom 0 0 0 0 0 0 
treinten 0 0 1 0 0 0 
caballeros, 0 0 1 0 0 0 
part 1 1 1 1 1 1 
isengard. 0 0 0 0 0 0 
al 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
recibidos, 0 0 1 0 0 0 
sorpres 0 0 1 0 0 0 
(men 0 0 1 0 0 0 
gandalf) 0 0 0 0 0 0 
merry 0 0 0 0 0 0 
pippin, 0 0 0 0 0 0 
sent 0 1 1 0 1 0 
escombr 0 0 1 0 0 0 
puert 0 1 0 0 1 0 
